clocks, time
7302068, 0.003327
6881500, 0.003136
9023044, 0.004110
7993986, 0.003642
7584442, 0.003415
6243916, 0.002845
8851754, 0.004032
8601239, 0.003887
7293824, 0.003323
6410978, 0.002921
6065852, 0.002763
6062936, 0.002763
6148180, 0.002801
6844652, 0.003118
6249310, 0.002847
6326524, 0.002882
6306730, 0.002874
6297956, 0.002869
6247688, 0.002846
6310676, 0.002875
9106368, 0.004148
6696702, 0.003051
6929104, 0.003157
7780681, 0.003545
6771132, 0.003085
6243306, 0.002845
6305524, 0.002873
6243410, 0.002845
6517872, 0.002969
6304604, 0.002873
6242578, 0.002844
6241630, 0.002844
6304006, 0.002873
6504132, 0.002963
6362540, 0.002899
6246316, 0.002845
6754620, 0.003078
6507246, 0.002965
6295012, 0.002868
6241676, 0.002843
6338784, 0.002888
6255228, 0.002850
6248926, 0.002847
6311102, 0.002875
6529368, 0.002975
6269166, 0.002856
6543598, 0.002982
6840814, 0.003117
6668508, 0.003038
6821226, 0.003108
8200510, 0.003736
6708130, 0.003056
6650028, 0.003030
6443724, 0.002936
6491114, 0.002958
6607196, 0.003010
6451666, 0.002939
6306648, 0.002873
6278724, 0.002860
6615436, 0.003014
6472416, 0.002949
6442016, 0.002935
6294650, 0.002868
6388762, 0.002911
6384942, 0.002909
6317648, 0.002879
6295336, 0.002868
6421878, 0.002926
6440644, 0.002934
6587902, 0.003001
8954704, 0.004080
8057592, 0.003671
7070553, 0.003221
6358526, 0.002897
6321858, 0.002880
10019386, 0.004565
8714862, 0.003971
7480712, 0.003408
6406654, 0.002919
6310842, 0.002875
6530192, 0.002975
9717854, 0.004427
6718656, 0.003060
8415384, 0.003834
8368540, 0.003812
7297722, 0.003324
6483870, 0.002954
6414332, 0.002922
6595670, 0.003005
6327760, 0.002883
6262184, 0.002853
6213568, 0.002831
6058918, 0.002760
6058766, 0.002760
6058152, 0.002760
6259268, 0.002852
7434239, 0.003387
10671083, 0.004861
8684655, 0.003957
7325800, 0.003338
6257210, 0.002851
6162270, 0.002807
6135316, 0.002795
6496232, 0.002960
6059532, 0.002760
6171440, 0.002812
6059970, 0.002761
6159712, 0.002806
6060054, 0.002761
6179874, 0.002816
6144460, 0.002799
6361260, 0.002898
6165774, 0.002809
6165280, 0.002809
6059860, 0.002761
6059642, 0.002760
6261154, 0.002853
6119866, 0.002788
6060414, 0.002761
8957167, 0.004080
9697404, 0.004418
8882430, 0.004047
